

gen best mean std
0 17.984407 2.526942 19.417611
1 27.150811 -0.009629 8.588523
2 27.150811 5.128691 10.0156
3 30.196169 11.564988 9.447949
4 36.331526 12.954275 11.139679
5 36.331526 12.812655 11.75369
6 36.331526 14.112081 10.524729
7 41.803842 17.555372 8.788351
8 41.803842 18.245717 11.892174
9 41.803842 11.64838 13.063763
10 48.569395 11.943644 12.943376
11 48.569395 8.090567 11.891586
12 48.700991 19.936054 12.873405
13 49.044028 21.637302 14.648622
14 49.044028 3.273164 15.362646
15 49.044028 3.784773 14.647548
16 49.044028 5.283103 14.641565
17 49.044028 7.477794 15.275017
18 49.044028 9.316561 15.444909
19 49.044028 7.909746 15.679227
20 49.044028 10.266057 15.245075
21 49.044028 12.018239 15.412522
22 57.669293 16.283917 17.825597
23 57.669293 16.861764 16.098776
24 57.669293 22.043865 17.134963
25 66.587726 25.612438 19.969217
26 66.587726 24.50297 18.869006
27 66.587726 29.78389 17.72122
28 66.587726 32.248972 17.028687
29 66.670762 30.582796 18.215045
30 66.670762 39.278453 13.973645
